SPORT,SEMESTER,DATE
Football,Fall_2022,2022-9-3
Football,Fall_2022,2022-9-17
Football,Fall_2022,2022-10-1
Football,Fall_2022,2022-10-8
Football,Fall_2022,2022-10-22
Football,Fall_2022,2022-11-19
Football,Fall_2022,2022-11-26
Football,Fall_2023,2023-9-2
Football,Fall_2023,2023-9-9
Football,Fall_2023,2023-9-15
Football,Fall_2023,2023-9-30
Football,Fall_2023,2023-10-14
Football,Fall_2023,2023-11-4
Football,Fall_2023,2023-11-18
Football,Fall_2024,2024-8-31
Football,Fall_2024,2024-9-7
Football,Fall_2024,2024-9-21
Football,Fall_2024,2024-10-11
Football,Fall_2024,2024-10-19
Football,Fall_2024,2024-11-16
Football,Fall_2024,2024-11-23
Football,Fall_2025,2025-8-30
Football,Fall_2025,2025-9-5
Football,Fall_2025,2025-9-13
Football,Fall_2025,2025-10-4
Football,Fall_2025,2025-10-11
Football,Fall_2025,2025-11-1
Football,Fall_2025,2025-11-22
Men's Basketball,Spring_2022,2022-1-9
Men's Basketball,Spring_2022,2022-1-15
Men's Basketball,Spring_2022,2022-1-21
Men's Basketball,Spring_2022,2022-1-29
Men's Basketball,Spring_2022,2022-2-1
Men's Basketball,Spring_2022,2022-2-10
Men's Basketball,Spring_2022,2022-2-21
Men's Basketball,Spring_2022,2022-2-27
Men's Basketball,Spring_2022,2022-3-2
Men's Basketball,Fall_2022,2022-11-7
Men's Basketball,Fall_2022,2022-11-10
Men's Basketball,Fall_2022,2022-11-15
Men's Basketball,Fall_2022,2022-11-25
Men's Basketball,Fall_2022,2022-12-2
Men's Basketball,Fall_2022,2022-12-14
Men's Basketball,Fall_2022,2022-12-22
Men's Basketball,Fall_2022,2022-12-29
Men's Basketball,Spring_2023,2023-1-8
Men's Basketball,Spring_2023,2023-1-19
Men's Basketball,Spring_2023,2023-1-25
Men's Basketball,Spring_2023,2023-1-28
Men's Basketball,Spring_2023,2023-1-31
Men's Basketball,Spring_2023,2023-2-11
Men's Basketball,Spring_2023,2023-2-16
Men's Basketball,Spring_2023,2023-2-22
Men's Basketball,Spring_2023,2023-2-26
Men's Basketball,Fall_2023,2023-11-7
