SPORT,SEMESTER,DATE
Football,Fall_2022,9/3/2022
Football,Fall_2022,9/17/2022
Football,Fall_2022,10/1/2022
Football,Fall_2022,10/8/2022
Football,Fall_2022,10/22/2022
Football,Fall_2022,11/19/2022
Football,Fall_2022,11/26/2022
Football,Fall_2023,9/2/2023
Football,Fall_2023,9/9/2023
Football,Fall_2023,9/15/2023
Football,Fall_2023,9/30/2023
Football,Fall_2023,10/14/2023
Football,Fall_2023,11/4/2023
Football,Fall_2023,11/18/2023
Football,Fall_2024,8/31/2024
Football,Fall_2024,9/7/2024
Football,Fall_2024,9/21/2024
Football,Fall_2024,10/11/2024
Football,Fall_2024,10/19/2024
Football,Fall_2024,11/16/2024
Football,Fall_2024,11/23/2024
Football,Fall_2025,8/30/2025
Football,Fall_2025,9/5/2025
Football,Fall_2025,9/13/2025
Football,Fall_2025,10/4/2025
Football,Fall_2025,10/11/2025
Football,Fall_2025,11/1/2025
Football,Fall_2025,11/22/2025
Men's Basketball,Spring_2022,1/9/2022
Men's Basketball,Spring_2022,1/15/2022
Men's Basketball,Spring_2022,1/21/2022
Men's Basketball,Spring_2022,1/29/2022
Men's Basketball,Spring_2022,2/1/2022
Men's Basketball,Spring_2022,2/10/2022
Men's Basketball,Spring_2022,2/21/2022
Men's Basketball,Spring_2022,2/27/2022
Men's Basketball,Spring_2022,3/2/2022
Men's Basketball,Fall_2022,11/7/2022
Men's Basketball,Fall_2022,11/10/2022
Men's Basketball,Fall_2022,11/15/2022
Men's Basketball,Fall_2022,11/25/2022
Men's Basketball,Fall_2022,12/2/2022
Men's Basketball,Fall_2022,12/14/2022
Men's Basketball,Fall_2022,12/22/2022
Men's Basketball,Fall_2022,12/29/2022
Men's Basketball,Spring_2023,1/8/2023
Men's Basketball,Spring_2023,1/19/2023
Men's Basketball,Spring_2023,1/25/2023
Men's Basketball,Spring_2023,1/28/2023
Men's Basketball,Spring_2023,1/31/2023
Men's Basketball,Spring_2023,2/11/2023
Men's Basketball,Spring_2023,2/16/2023
